ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001209191-06-020973	1271600	Warrant		3.5				21-MAR-2006		21-MAR-2016		Common Stock		200000.0								D			
0001209191-06-020973	1271602	Stock Option		3.5				21-MAR-2006	F2	21-MAR-2016		Common Stock		420000.0								D			
0001209191-06-020973	1271601	Stock Option		3.5				21-MAR-2006	F1	21-MAR-2016		Common Stock		180000.0								D			
0001181431-06-021106	1458653	Option to Buy (Officer's Option)		15.29					F1	08-MAR-2014		Common Stock		19900.0								D			
0001181431-06-021106	1458655	Option to Buy (Officer's Option)		29.56					F1	14-JAN-2016		Common Stock		13000.0								D			
0001181431-06-021106	1458654	Option to Buy (Officer's Option)		22.18					F1	14-JAN-2015		Common Stock		8000.0								D			
0001181431-06-021104	1087074	Non-Qualified Stock Option Grant (Right to Buy).	F1	30.68				22-FEB-2006		22-FEB-2012	F2	Common Stock		40000.0								D			
0001181431-06-021103	1471716	Stock Options		9.8				19-FEB-2004	F11	19-FEB-2012		Common		15000.0				15000.0				D			
0001181431-06-021103	1471717	Stock Options		15.2				15-FEB-2007	F9	15-FEB-2015		Common		10000.0				10000.0				D			
0001181431-06-021103	1471718	Stock Appreciation Rights		14.39				21-FEB-2008	F10	21-FEB-2014		Common		3250.0				3250.0				D			
0001181431-06-021103	1471715	Stock Options		10.13				27-SEP-2003	F6	27-SEP-2011		Common		17500.0				17500.0				D			
0001181431-06-021103	1471713	Stock Options		9.25				04-MAY-2000	F4	04-MAY-2009		Common		25800.0				25800.0				D			
0001181431-06-021103	1471712	Stock Options		12.89				17-FEB-2006	F1	17-FEB-2014		Common		20000.0				20000.0				D			
0001181431-06-021103	1471711	Stock Options		6.5				16-SEP-2005	F3	16-SEP-2013		Common		15000.0				15000.0				D			
0001181431-06-021103	1471714	Stock Options		6.88				15-FEB-2002	F5	15-FEB-2010		Common		15000.0				15000.0				D			
0001181431-06-021101	1490298	Stock Options		6.5				16-SEP-2005	F3	16-SEP-2013		Common		15000.0				15000.0				D			
0001181431-06-021101	1490299	Stock Options		12.89				17-FEB-2006	F1	17-FEB-2014		Common		20000.0				20000.0				D			
0001181431-06-021101	1490306	Stock Options		4.28				19-FEB-2005	F10	19-FEB-2013		Common		6666.0				6666.0				D			
0001181431-06-021101	1490305	Stock Appreciation Rights		14.39				21-FEB-2008	F8	21-FEB-2014		Common		3250.0				3250.0				D			
0001181431-06-021101	1490304	Stock Options		15.2				15-FEB-2007	F7	15-FEB-2015		Common		10000.0				10000.0				D			
0001181431-06-021101	1490303	Stock Options		9.8				19-FEB-2004	F9	19-FEB-2012		Common		15000.0				15000.0				D			
0001181431-06-021101	1490302	Stock Options		10.13				27-SEP-2003	F6	27-SEP-2011		Common		17500.0				17500.0				D			
0001181431-06-021101	1490301	Stock Options		6.88				15-FEB-2002	F5	15-FEB-2010		Common		15000.0				15000.0				D			
0001181431-06-021101	1490300	Stock Options		9.25				04-MAY-2000	F4	04-MAY-2009		Common		25800.0				25800.0				D			
0000899078-06-000307	1503158	Incentive Stock Option		5.0				24-MAR-2003		23-MAR-2008		Common Stock		50000.0								D			
0001061983-06-000018	1447268	Non-Qualified Stock Option (right to buy)		2.0				18-DEC-2003	F7	18-DEC-2013		Common Stock		114425.0				114425.0				D			
0001061983-06-000018	1447267	Non-Qualified Stock Option (right to buy)		1.2				10-JUL-2002	F5	10-JUL-2012		Common Stock		31667.0				31667.0				D			
0001061983-06-000018	1447262	Incentive Stock Option (right to buy)		1.2				10-JUL-2002	F5	10-JUL-2012		Common Stock		83333.0				83333.0				D			
0001061983-06-000018	1447265	Incentive Stock Option (right to buy)		6.59				11-APR-2005	F8	11-APR-2015		Common Stock		45000.0				45000.0				D			
0001061983-06-000018	1447264	Incentive Stock Option (right to buy)		2.0				18-DEC-2003	F7	18-DEC-2013		Common Stock		27500.0				27500.0				D			
0001061983-06-000018	1447263	Incentive Stock Option (right to buy)		1.2				21-MAY-2003	F6	21-MAY-2013		Common Stock		37500.0				37500.0				D			
0001061983-06-000018	1447269	Non-Qualified Stock Option (right to buy)		7.15				01-MAR-2006	F9	01-MAR-2016		Common Stock		71506.0				71506.0				D			
0001061983-06-000018	1447266	Incentive Stock Option (right to buy)		7.15				01-MAR-2006	F9	01-MAR-2016		Common Stock		28494.0				28494.0				D			
0001186661-06-000001	1409217	NQSO (Right to Buy)		9.9				28-JUN-2003		28-JUN-2008		Common Stock		1820.0				5741.0				D			
0001186661-06-000001	1409216	NQSO(Right to Buy)		18.56				22-APR-2001		22-APR-2006		Common Stock		2101.0				5741.0				D			
0001186661-06-000001	1409218	NQSO (Right to Buy)		11.92				15-MAY-2004		15-MAY-2009		Common Stock		1820.0				5741.0				D			
0001104659-06-021425	1204272	Stock Option (right to buy)		5.26					F1	17-JUL-2015		Common Stock		35000.0								D			
0001104659-06-021425	1204273	Stock option (right to buy)		6.88					F2	15-MAR-2016		Common Stock		25000.0								D			
0001209191-06-020936	1158999	Options (right to buy)		3.38				10-DEC-1998	F1	10-DEC-2007		Common Stock		18375.0				18375.0				D			
0001209191-06-020936	1159000	Options (right to buy)		8.25				16-JUN-2003	F2	19-JUN-2012		Common Stock		6300.0				6300.0				D			
0001209191-06-020936	1159001	Options (right to buy)		17.75				21-JAN-2005	F2	21-JAN-2014		Common Stock		6300.0				6300.0				D			
0000888919-06-000020	1279368	Option to Purchase	F1	25.88					F2	22-JUL-2011		Common Stock		600000.0				600000.0				D			
0001130144-06-000033	1485879	Stock Option		6.43				11-OCT-2001		11-OCT-2011		Common Stock		50000.0				50000.0				D			
0001241708-06-000010	1296963	Employee Stock Option (right to buy)		26.25					F3	17-AUG-2015		Common Stock		10125.0				10125.0				D			
0001241708-06-000010	1296962	Employee Stock Option (right to buy)		11.47					F3	24-AUG-2014		Common Stock		13500.0				13500.0				D			
0001241708-06-000010	1296961	Employee Stock Option (right to buy)		3.29					F2	16-DEC-2013		Common Stock		25000.0				25000.0				D			
0001181431-06-021064	1420908	Option to purchase Common Stock		2.09				13-MAR-2003	F1	13-MAR-2007		Common Stock, $.01 par value		14400.0				14400.0				D			
0001261683-06-000020	1329801	Stock Option (right to buy)		28.89					F1	09-JAN-2014		Common stock		11000.0				11000.0				D			
0001261683-06-000020	1329800	Stock Option (right to buy)		17.53					F2	28-APR-2008		Common stock		5952.0				5952.0				D			
0001181431-06-021061	1110808	Stock Option (Right to Buy)		4.5					F5	01-DEC-2011		Common Stock		72000.0				72000.0				D			
0001181431-06-021061	1110811	Stock Options (Right to Buy)		28.66				02-FEB-2007	F8	02-FEB-2016		Common Stock		21000.0				21000.0				D			
0001181431-06-021061	1110809	Stock Option (Right to Buy)		25.33					F6	10-FEB-2014		Common Stock		30000.0				30000.0				D			
0001181431-06-021061	1110810	Stock Option (Right to Buy)		44.29				01-JUL-2006	F7	01-JUL-2015		Common Stock		12000.0				12000.0				D			
0001181431-06-021060	1074617	Stock Option (Right to Buy)	F1	44.29				01-JUL-2006	F3	01-JUL-2015		Common Stock		12000.0				12000.0				D			
0001181431-06-021059	1368829	Option to purchase common stock		2.09				13-MAR-2003	F1	13-MAR-2007		Common Stock, $.01 par value		4800.0				4800.0				D			
0000045012-06-000158	1136753	Option to Buy Common Stock		44.08				03-MAR-2005		03-MAR-2015		Common Stock		100000.0				100000.0				D			
0000045012-06-000158	1136752	Option to Buy Common Stock		64.78				07-DEC-2005		07-DEC-2015		Common Stock		90000.0				90000.0				D			
0000045012-06-000158	1136751	Option to Buy Common Stock		26.03				02-JAN-2004		02-JAN-2014		Common Stock		33333.0				33333.0				D			
0000045012-06-000158	1136750	Option to Buy Common Stock		31.55				01-APR-2003		19-JUL-2011		Common Stock		38602.0				38602.0				D			
0000045012-06-000158	1136754	Option to Buy Common Stock		38.61				02-DEC-2004		02-DEC-2014		Common Stock		69000.0				69000.0				D			
0001140361-06-004961	1086990	Employee Stock Option		8.33				20-FEB-2003		19-FEB-2008		Common Stock		6250.0								D			
0001022408-06-000041	1147607	Stock Option		10.87					F1	16-NOV-2009		Common Stock		41800.0				41800.0				D			
0001022408-06-000041	1147605	Stock Option		7.75					F1	11-AUG-2009		Common Stock		175000.0				175000.0				D			
0001022408-06-000041	1147606	Stock Option		10.87					F1	16-FEB-2010		Common Stock		258200.0				258200.0				D			
0001023860-06-000006	1211665	2001 Stock Option Plan		20.0				08-MAY-2004		16-SEP-2008		Common A		2552.0				2552.0				D			
0001023860-06-000005	1171658	2001 Stock Option Plan		9.57				08-MAY-2004		08-MAY-2006		Common A		3473.0				3473.0				D			
0001014108-06-000073	1139112	Stock Option		7.25				06-MAR-2002		06-MAR-2011		Common Stock		5000.0				5000.0				D			
0001014108-06-000073	1139113	Stock Option		7.1				23-JAN-2003		23-JAN-2012		Common Stock		5000.0				5000.0				D			
0001014108-06-000073	1139114	Stock Option		10.41				22-JAN-2004		22-JAN-2013		Common Stock		5000.0				5000.0				D			
0001014108-06-000073	1139116	Stock Option		13.4				19-APR-2006		19-APR-2015		Common Stock		5000.0				5000.0				D			
0001014108-06-000073	1139115	Stock Option		14.4				21-JAN-2005		21-JAN-2014		Common Stock		5000.0				5000.0				D			
0001196395-06-000045	1345360	Stock Options		20.38				23-JUN-2000	F2	22-JUN-2009		Common Stock		40186.0				40186.0				D			
0001196395-06-000045	1345358	Stock Options		14.58				19-JUN-1997	F2	18-JUN-2007		Common Stock		999.0				999.0				D			
0001196395-06-000045	1345359	Stock Options		22.0				09-OCT-1998	F2	08-OCT-2007		Common Stock		54000.0				54000.0				D			
0001179110-06-007493	1379537	Stock Option (right to buy)		10.2				25-MAY-2002	F5	25-MAY-2008		Common Stock		70000.0				70000.0				D			
0001179110-06-007493	1379536	Stock Option (right to buy)		13.9				24-MAY-2003	F4	24-MAY-2009		Common Stock		57500.0				57500.0				D			
0001179110-06-007493	1379538	Stock Option (right to buy)		11.44				08-MAR-2001	F6	08-MAR-2010		Common Stock		40000.0				40000.0				D			
0001179110-06-007493	1379541	Stock Option (right to buy)		18.06				18-FEB-2000	F9	18-FEB-2009		Common Stock		9223.0				9223.0				D			
0001179110-06-007493	1379540	Stock Option (right to buy)		17.44				05-MAY-2000	F8	05-MAY-2009		Common Stock		13147.0				13147.0				D			
0001179110-06-007493	1379539	Stock Option (right to buy)		17.88				18-MAY-2002	F7	18-MAY-2009		Common Stock		15000.0				15000.0				D			
0001179110-06-007492	1508271	Stock Option (right to buy)		11.44				08-MAR-2001	F5	08-MAR-2010		Common Stock		22000.0				22000.0				D			
0001179110-06-007492	1508272	Stock Option (right to buy)		17.88				18-MAY-2002	F6	18-MAY-2009		Common Stock		10000.0				10000.0				D			
0001179110-06-007492	1508274	Stock Option (right to buy)		18.06				18-FEB-2000	F8	18-FEB-2009		Common Stock		3208.0				3208.0				D			
0001179110-06-007492	1508273	Stock Option (right to buy)		17.44				05-MAY-2000	F7	05-MAY-2009		Common Stock		10210.0				10210.0				D			
0001179110-06-007492	1508275	Stock Option (right to buy)		28.69				03-AUG-1999	F9	03-AUG-2008		Common Stock		34858.0				34858.0				D			
0001341148-06-000003	1106990	Nonstatutory Stock Option (Right to Buy) NSO		68.12				22-MAR-2009		21-MAR-2016		Class A Common Stock		20000.0				20000.0				D			
0001341148-06-000003	1106991	Restricted Stock Units (RSU)	F1	0.0	F1				F2		F2	Class A Common Stock		2500.0				2500.0				D			
0001341148-06-000003	1106989	Nonstatutory Stock Option (Right to Buy) NSO		61.29				15-DEC-2006		15-DEC-2015		Class A Common Stock		10000.0				10000.0				D			
0001341148-06-000003	1106988	Nonstatutory Stock Option (Right to Buy) NSO		17.9				23-AUG-2004		23-AUG-2013		Class A Common Stock		5000.0				5000.0				D			
0001355189-06-000001	1121137	Common Stock		4.0				15-DEC-1999		15-DEC-2008		Common		2500.0								D			
0001355189-06-000001	1121136	Common Stock		4.25				13-OCT-1999		13-OCT-2008		Common		1800.0								D			
0001355189-06-000001	1121135	Common Stock		4.38				14-JAN-1999		14-JAN-2008		Common		1500.0								D			
0001355189-06-000001	1121134	Common Stock		4.5				15-NOV-1998		15-NOV-2007		Common		1500.0								D			
0001355189-06-000001	1121133	Common Stock		3.88				26-FEB-1998		26-FEB-2007		Common		1000.0								D			
0001355189-06-000001	1121132	Common Stock		4.63				01-NOV-1997		01-NOV-2006		Common		700.0								D			
0001355189-06-000001	1121143	Common Stock		1.0				23-JAN-2006		23-JAN-2016		Common		100000.0								D			
0001355189-06-000001	1121142	Common Stock		1.0				29-SEP-2003		29-SEP-2012		Common		45000.0								D			
0001355189-06-000001	1121141	Common Stock		1.0				19-APR-2002		19-APR-2011		Common		50000.0								D			
0001355189-06-000001	1121140	Common Stock		1.0				27-DEC-2001		27-DEC-2010		Common		20000.0								D			
0001355189-06-000001	1121139	Common Stock		1.88				29-OCT-2000		29-OCT-2009		Common		50000.0								D			
0001355189-06-000001	1121138	Common Stock		3.0				13-JUL-2000		13-JUL-2009		Common		20000.0								D			
0001250468-06-000004	1401452	Nonstatutory Stock Option (Right to Buy) NSO		43.16				23-NOV-2005		23-NOV-2014		Class A Common Stock		35000.0				35000.0				D			
0001250468-06-000004	1401453	Nonstatutory Stock Option (Right to Buy) NSO		61.29				15-DEC-2006		15-DEC-2015		Class A Common Stock		25000.0				25000.0				D			
0001250468-06-000004	1401454	Restricted Stock Units (RSU)	F1	0.0	F1				F2		F2	Class A Common Stock		5000.0				5000.0				D			
0001230295-06-000075	1300876	Stock Option (Right to Buy)		29.06				12-MAY-2005		12-MAY-2014		Common Stock		2250.0				2250.0				D			
0001230295-06-000075	1300877	Stock Option (Right to Buy)		29.02				31-MAY-2005		31-MAY-2015		Common Stock		1175.0				1175.0				D			
0001230295-06-000075	1300874	Stock Option (Right to Buy)		33.41				17-NOV-2002		17-MAY-2007		Common Stock		1500.0				1500.0				D			
0001230295-06-000075	1300875	Stock Option (Right to Buy)		26.01				29-MAY-2004		29-MAY-2013		Common Stock		2500.0				2500.0				D			
0001230295-06-000074	1443119	Stock Option (Right to Buy)		29.06				12-MAY-2005		12-MAY-2014		Common Stock		2250.0				2250.0				D			
0001230295-06-000074	1443120	Stock Option (Right to Buy)		29.02				31-MAY-2005		31-MAY-2015		Common Stock		1175.0				1175.0				D			
0001230295-06-000074	1443118	Stock Option (Right to Buy)		26.01				29-MAY-2004		29-MAY-2013		Common Stock		2500.0				2500.0				D			
0001230295-06-000074	1443117	Stock Option (Right to Buy)		33.41				17-NOV-2002		17-MAY-2007		Common Stock		1500.0				1500.0				D			
0001230295-06-000073	1251404	Stock Option (Right to Buy)		29.02				31-MAY-2005		31-MAY-2015		Common Stock		1175.0				1175.0				D			
0001230295-06-000073	1251403	Stock Option (Right to Buy)		29.06				12-MAY-2005		12-MAY-2014		Common Stock		2250.0				2250.0				D			
0001230295-06-000073	1251402	Stock Option (Right to Buy)		26.01				29-MAY-2004		29-MAY-2013		Common Stock		2500.0				2500.0				D			
0001230295-06-000073	1251401	Stock Option (Right to Buy)		33.41				17-NOV-2002		17-MAY-2007		Common Stock		1500.0				1500.0				D			
0001230295-06-000072	1387137	Stock Option (Right to Buy)		33.41				17-NOV-2002		17-MAY-2007		Common Stock		1500.0				1500.0				D			
0001230295-06-000072	1387138	Stock Option (Right to Buy)		26.01				29-MAY-2004		29-MAY-2013		Common Stock		2500.0				2500.0				D			
0001230295-06-000072	1387139	Stock Option (Right to Buy)		29.06				12-MAY-2005		12-MAY-2014		Common Stock		2250.0				2250.0				D			
0001230295-06-000072	1387140	Stock Option (Right to Buy)		29.02				31-MAY-2005		31-MAY-2015		Common Stock		1175.0				1175.0				D			
0001179110-06-007473	1239282	Stock Option (Right to Buy)		36.17				01-MAY-2004		30-APR-2014		Common Stock		11250.0				11250.0				D			
0000108601-06-000107	1297120	Stock Option (Right to Buy)O-04		62.28				25-MAY-2005	F10	25-MAY-2014		Common Stock		17000.0				17000.0				D			
0000108601-06-000107	1297119	Stock Option (Right to Buy)O-03		54.67				20-MAY-2004	F9	20-MAY-2013		Common Stock		13000.0				13000.0				D			
0000108601-06-000107	1297118	Stock Option (Right to Buy)O-02		57.32				21-MAY-2003	F8	21-MAY-2012		Common Stock		13000.0				13000.0				D			
0000108601-06-000107	1297117	Stock Option (Right to Buy)-O-01		48.1				23-MAY-2002	F7	23-MAY-2011		Common Stock		14000.0				14000.0				D			
0000108601-06-000107	1297116	Stock Option (Right to Buy) O-05		69.35				19-MAY-2006	F6	19-MAY-2015		Common Stock		13600.0				13600.0				D			
0000108601-06-000107	1297115	Common Stock Units		0.0	F3				F4		F4	Common Stock		12513.58				12513.58	F5			D			
0001358009-06-000001	1423046	Stock Option (Right to Buy)		20.01					F1	15-SEP-2015		Common Stock		25000.0								D			
0001235109-06-000013	1263070	Options to Purchase Common Stock		13.86	F2			01-JUL-2004		30-JUN-2014		Common Stock		520.0	F2							D			
0001235109-06-000013	1263069	Options to Purchase Common Stock		7.81	F2			31-DEC-2001		30-DEC-2011		Common Stock		739.0	F2							D			
0001235109-06-000013	1263068	Options to Purchase Common Stock		8.85	F2			30-SEP-2001		29-SEP-2011		Common Stock		625.0	F2							D			
0001235109-06-000013	1263067	Options to Purchase Common Stock		8.46	F2			30-JUN-2001		29-JUN-2011		Common Stock		471.0	F2							D			
0001235109-06-000013	1263066	Options to Purchase Common Stock		4.67	F2			31-MAR-2001		30-MAR-2011		Common Stock		569.0	F2							D			
0001235109-06-000013	1263065	Options to Purchase Common Stock		4.6	F2			31-DEC-2000		30-DEC-2010		Common Stock		682.0	F2							D			
0001235109-06-000013	1263064	Options to Purchase Common Stock		4.26	F2			30-SEP-2000		29-SEP-2010		Common Stock		626.0	F2							D			
0001235109-06-000013	1263063	Options to Purchase Common Stock		4.4	F2			30-JUN-2000		29-JUN-2010		Common Stock		569.0	F2							D			
0001235109-06-000013	1263061	Options to Purchase Common Stock		4.4	F2			15-DEC-1999		14-DEC-2009		Common Stock		7962.0	F2							D			
0001235109-06-000013	1263062	Options to Purchase Common Stock		4.4	F2			31-MAR-2000		30-MAR-2010		Common Stock		283.0	F2							D			
0001181431-06-020993	1295162	Option		3.33				07-AUG-1992		06-AUG-2002		Common Stock		21120.0				21120.0	F2			D			
0000018926-06-000025	1218601	Employee Stock Option (right to buy)		32.99				25-FEB-2003	F7	25-FEB-2012		Common Stock		81000.0				81000.0				D			
0000018926-06-000025	1218604	Employee Stock Option (right to buy)		33.4				17-FEB-2005	F10	17-FEB-2015		Common Stock		40500.0				40500.0				D			
0000018926-06-000025	1218599	Employee Stock Option (right to buy)		34.63				21-FEB-2001	F5	21-FEB-2010		Common Stock		85000.0				85000.0				D			
0000018926-06-000025	1218602	Employee Stock Option (right to buy)		27.48				24-FEB-2004	F8	24-FEB-2013		Common Stock		58402.0				58402.0				D			
0000018926-06-000025	1218605	Employee Stock Option (right to buy)		35.41				15-MAR-2007	F11	20-FEB-2016		Common Stock		40500.0				40500.0				D			
0000018926-06-000025	1218600	Employee Stock Option (right to buy)		28.03				21-MAY-2002	F6	21-MAY-2011		Common Stock		81000.0				81000.0				D			
0000018926-06-000025	1218603	Employee Stock Option (right to buy)		28.34				25-FEB-2004	F9	25-FEB-2014		Common Stock		40500.0				40500.0				D			
0001209191-06-020821	1119343	Options		7.88					F3	22-JUN-2006		Common Stock		18955.0				18955.0				D			
0001209191-06-020821	1119342	Options		16.25					F2	11-JUL-2007		Common Stock		175000.0				175000.0				D			
0001144204-06-012967	1103726	Stock Options (right to buy)		1.5				26-MAR-2007		29-DEC-2015		Common Stock		350000.0								D			
0000714310-06-000059	1089911	Stock Option		24.68				14-NOV-2006		14-NOV-2015		Common Stock		2000.0								D			
0000714310-06-000059	1089912	Stock Option		26.64				16-NOV-2005		16-NOV-2014		Common Stock		1050.0								D			
0000909654-06-000815	1473971	Non-Qualified Stock Option (right to buy)		18.51				20-DEC-2000	F3	20-DEC-2010		Common Stock		17000.0				17000.0				D			
0000909654-06-000815	1473972	Non-Qualified Stock Option (right to buy)		24.68				16-JAN-2002	F4	16-JAN-2012		Common Stock		20000.0				20000.0				D			
0001072613-06-000733	1247183	Incentive Stock Option		17.07				26-JUN-2007	F3	25-JUN-2013		Common Stock		0.0				9387.0				D			
0001072613-06-000733	1247187	Non-Qualified Stock Option		25.25				23-JUN-2007	F7	22-JUN-2012		Common Stock		0.0				8910.0				D			
0001072613-06-000733	1247186	Incentive Stock Option		25.25				23-JUN-2008	F6	22-JUN-2012		Common Stock		0.0				4090.0				D			
0001072613-06-000733	1247185	Incentive Stock Option		24.2				25-JUN-2008	F5	24-JUN-2014		Common Stock		0.0				5004.0				D			
0001072613-06-000733	1247180	Incentive Stock Option		11.91				27-JUN-2002		26-JUN-2008		Common Stock		0.0				9517.0				D			
0001072613-06-000733	1247181	Incentive Stock Option		13.02				26-JUN-2006	F1	25-JUN-2012		Common Stock		0.0				13310.0				D			
0001072613-06-000733	1247182	Non-Qualified Stock Option		17.07				26-JUN-2006	F2	25-JUN-2013		Common Stock		0.0				3923.0				D			
0001072613-06-000733	1247184	Non-Qualified Stock Option		24.2				25-JUN-2007	F4	24-JUN-2014		Common Stock		0.0				6996.0				D			
0001125282-06-002007	1155393	Stock Option		4.68				07-DEC-2006		07-DEC-2014		Common		40000.0				40000.0				D			
0001125282-06-002007	1155392	Stock Option		3.8				09-DEC-2005		09-DEC-2013		Common		25000.0				25000.0				D			
0001125282-06-002007	1155394	Stock Option		8.46				06-DEC-2007		06-DEC-2015		Common		40000.0				40000.0				D			
0001125282-06-002007	1155391	Stock Option		5.98				28-FEB-2004		28-FEB-2012		Common		25000.0				25000.0				D			
0001020710-06-000019	1210492	DXP Common Stock Options		2.5					F2	25-APR-2010		DXP Common Stock		8000.0				8000.0				D			
0001125282-06-002004	1230873	Option		2.34				26-JUN-2000		26-JUN-2010		Common		10000.0				10000.0				D			
0001125282-06-002004	1230877	Option		3.8				09-DEC-2005		09-DEC-2013		Common		30000.0				30000.0				D			
0001125282-06-002004	1230878	Option		4.68				07-DEC-2006		07-DEC-2014		Common		20000.0				20000.0				D			
0001125282-06-002004	1230879	Warrant		1.75				30-APR-1998		30-APR-2008		Common		283290.0				283290.0				D			
0001125282-06-002004	1230875	Option		6.27				16-JUN-2002		16-JUN-2012		Common		10000.0				10000.0				D			
0001125282-06-002004	1230871	Option		1.53				17-JUL-1998		17-JUL-2008		Common		10000.0				10000.0				D			
0001125282-06-002004	1230872	Option		2.13				28-JUN-1999		28-JUN-2009		Common		10000.0				10000.0				D			
0001125282-06-002004	1230876	Option		4.2				29-MAY-2003		29-MAY-2013		Common		10000.0				10000.0				D			
0001125282-06-002004	1230874	Option		3.6				13-JUN-2001		13-JUN-2011		Common		10000.0				10000.0				D			
0001125282-06-002004	1230880	Option		8.46				06-DEC-2007		06-DEC-2015		Common		20000.0				20000.0				D			
0001209191-06-020808	1197779	Stock option (right-to-buy)		19.15					F2	17-JUL-2013		Common Stock		15000.0				15000.0				D			
0001209191-06-020808	1197780	Stock option (right-to-buy)		24.84					F3	17-JUL-2012		Common Stock		3200.0				3200.0				D			
0001209191-06-020808	1197781	Stock option (right-to-buy)		27.12					F3	18-JUL-2011		Common Stock		4000.0				4000.0				D			
0001209191-06-020808	1197782	Stock option (right-to-buy)		17.81					F3	22-AUG-2010		Common Stock		3000.0				3000.0				D			
0001209191-06-020808	1197783	Stock option (right-to-buy)		17.0					F3	03-AUG-2009		Common Stock		3167.0				3167.0				D			
0001209191-06-020808	1197784	Stock option (right-to-buy)		30.0					F3	23-OCT-2007		Common Stock		3900.0				3900.0				D			
0001209191-06-020808	1197785	Stock option (right-to-buy)		24.9					F4	16-FEB-2015		Common Stock		12000.0				12000.0				D			
0001209191-06-020808	1197786	Stock option (right-to-buy)		30.95					F5	13-JUL-2015		Common Stock		12000.0				12000.0				D			
0001209191-06-020808	1197787	Stock option (right-to-buy)		48.17					F6	15-FEB-2016		Common Stock		17600.0				17600.0				D			
0001209191-06-020808	1197778	Stock option (right-to-buy)		22.9					F1	15-JUL-2014		Common Stock		9000.0				9000.0				D			
0001183740-06-000064	1322942	Warrants		0.5				02-JUL-2006		28-FEB-2008		Common Stock		10000.0								D			
0001183740-06-000064	1322943	Rights	F1	0.5				28-AUG-2006		28-FEB-2006		Units	F2	2000.0								D			
0001125282-06-002002	1185080	Stock Option		4.68				07-DEC-2006		07-DEC-2014		Common		40000.0				40000.0				D			
0001125282-06-002002	1185079	Stock Option		3.8				09-DEC-2005		09-DEC-2013		Common		25000.0				25000.0				D			
0001125282-06-002002	1185078	Stock Option		5.98				28-FEB-2004		28-FEB-2012		Common		25000.0				25000.0				D			
0001125282-06-002002	1185077	Stock Option		1.5				22-FEB-2003		22-FEB-2011		Common		40000.0				40000.0				D			
0001125282-06-002002	1185076	Stock Option		2.13				02-FEB-2001		02-FEB-2009		Common		50000.0				50000.0				D			
0001125282-06-002002	1185081	Stock Option		8.46				06-DEC-2007		06-DEC-2015		Common		40000.0				40000.0				D			
0001221629-06-000002	1407275	Stock Option (Right to Buy) 1 year vesting		32.25				21-DEC-2006		20-DEC-2015		Common Stock		2020.0				2020.0				D			
0001221629-06-000002	1407274	Stock Option (Right to Buy) 1 year vesting		26.67				15-DEC-2005		14-DEC-2014		Common Stock		750.0				750.0				D			
0001221629-06-000002	1407273	Stock Option (Right to Buy)		32.25				21-DEC-2005		20-DEC-2015		Common Stock		2480.0				2480.0				D			
0001221629-06-000002	1407272	Stock Option (Right to Buy)		26.67				15-DEC-2004		14-DEC-2014		Common Stock		3750.0				3750.0				D			
0001221629-06-000002	1407271	Stock Option (Right to Buy)		22.0				17-DEC-2003		16-DEC-2013		Common Stock		4500.0				4500.0				D			
0001125282-06-002000	1371416	Option		6.27				06-JUN-2002		06-JUN-2012		Common		10000.0				10000.0				D			
0001181431-06-020925	1268347	Class B Common Stock			F1				F4		F5	Class A Common Stock		41357.0				41357.0				I		By trust	F6
0001181431-06-020925	1268346	Class B Common Stock			F1				F4		F5	Class A Common Stock		38057.0				38057.0				I		By trust	F6
0001181431-06-020925	1268345	Class B Common Stock			F1				F4		F5	Class A Common Stock		38057.0				38057.0				I		By trust	F6
0001181431-06-020925	1268344	Class B Common Stock			F1				F4		F5	Class A Common Stock		2198571.0				2198571.0				I		By trust	F2
0001181431-06-020925	1268348	Class B Common Stock			F1				F4		F5	Class A Common Stock		193685.0				193685.0				I		By trust	F3
0001210750-06-000008	1107733	Non-Statutory Stock Option	F3	16.96				15-JAN-1998		14-JAN-2008		Common Stock		6000.0				6000.0				D			
0001210750-06-000008	1107734	Non-Statutory Stock Option	F4	18.55				15-JAN-2002		14-JAN-2012		Common Stock		6000.0				6000.0				D			
0001210750-06-000008	1107735	Non-Statutory Stock Option	F4	18.19				15-JAN-2003		14-JAN-2013		Common Stock		6000.0				6000.0				D			
0001210750-06-000008	1107736	Non-Statutory Stock Option	F4	24.17				15-JAN-2004		14-JAN-2014		Common Stock		6000.0				6000.0				D			
